_class,_id,batchId,Year,Quarter,Month,Day,createdBy,designId,Year,Quarter,Month,Day,lastModifiedBy,qrCode,type,urlPrefix
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d0382ecd43e5d5bb4d,6632d5d0382ecd43e5d5bb49,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d385382ecd43e5d5bb03,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,XYBIW6,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d0382ecd43e5d5bb4e,6632d5d0382ecd43e5d5bb49,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d385382ecd43e5d5bb03,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,YFNXVN,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d1382ecd43e5d5bb50,6632d5d1382ecd43e5d5bb4f,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d386382ecd43e5d5bb04,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,M7U5JG,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d1382ecd43e5d5bb51,6632d5d1382ecd43e5d5bb4f,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d386382ecd43e5d5bb04,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,N4E2T3,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d1382ecd43e5d5bb52,6632d5d1382ecd43e5d5bb4f,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d386382ecd43e5d5bb04,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,NU2H76,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d1382ecd43e5d5bb53,6632d5d1382ecd43e5d5bb4f,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d386382ecd43e5d5bb04,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,NDI9RY,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d1382ecd43e5d5bb54,6632d5d1382ecd43e5d5bb4f,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d386382ecd43e5d5bb04,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,MPYSSS,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d1382ecd43e5d5bb56,6632d5d1382ecd43e5d5bb55,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d386382ecd43e5d5bb05,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,U9JLNN,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d1382ecd43e5d5bb57,6632d5d1382ecd43e5d5bb55,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d386382ecd43e5d5bb05,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,UHFVVX,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d1382ecd43e5d5bb58,6632d5d1382ecd43e5d5bb55,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d386382ecd43e5d5bb05,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,TX0Z8D,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d1382ecd43e5d5bb59,6632d5d1382ecd43e5d5bb55,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d386382ecd43e5d5bb05,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,UKTF8U,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d1382ecd43e5d5bb5a,6632d5d1382ecd43e5d5bb55,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d386382ecd43e5d5bb05,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,UXIAB4,URL,https://securetag.in/found
in.pixiverse.user.management.securetag.db.entity.QRCode,6632d5d2382ecd43e5d5bb5c,6632d5d1382ecd43e5d5bb5b,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,6632d387382ecd43e5d5bb06,2024,Qtr 2,May,1,1143adda-d001-70dd-24d1-50370710e4fe,RD3HIK,URL,https://securetag.in/found
